City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
19,puerto ayora,EC,2021-11-29 21:59:37,-0.7393,-90.3518,78.76,89,75,8.01,broken clouds,0.0,0
20,alofi,NU,2021-11-29 21:59:37,-19.0595,-169.9187,80.49,61,40,12.66,scattered clouds,0.0,0
21,vanimo,PG,2021-11-29 21:59:38,-2.6741,141.3028,79.2,89,100,3.47,light rain,0.0,0
22,longyearbyen,SJ,2021-11-29 21:59:39,78.2186,15.6401,8.44,72,20,18.41,few clouds,0.0,0
23,busselton,AU,2021-11-29 21:59:40,-33.65,115.3333,57.04,62,30,9.73,scattered clouds,0.0,0
24,vzmorye,RU,2021-11-29 21:59:40,54.6961,20.2361,37.49,79,100,15.55,overcast clouds,0.0,0
25,castro,BR,2021-11-29 21:59:41,-24.7911,-50.0119,68.45,87,25,4.79,scattered clouds,0.0,0
26,high level,CA,2021-11-29 21:59:41,58.5169,-117.136,6.91,85,75,2.3,broken clouds,0.0,0
27,jamestown,US,2021-11-29 21:59:42,42.097,-79.2353,32.34,92,90,1.99,light snow,0.0,0
28,srednekolymsk,RU,2021-11-29 21:59:42,67.45,153.6833,-19.48,98,100,5.06,overcast clouds,0.0,0
29,avarua,CK,2021-11-29 21:59:43,-21.2078,-159.775,80.65,57,20,13.8,few clouds,0.0,0
30,palmas bellas,PA,2021-11-29 21:59:43,9.2319,-80.0867,84.11,88,97,11.36,overcast clouds,0.0,0
31,fort nelson,CA,2021-11-29 21:59:44,58.8053,-122.7002,6.39,78,75,4.61,broken clouds,0.0,0
32,faanui,PF,2021-11-29 21:59:44,-16.4833,-151.75,81.34,76,100,14.27,light rain,0.0,0
33,la libertad,EC,2021-11-29 21:59:45,-2.2333,-80.9,76.66,73,75,14.97,broken clouds,0.0,0
34,kamp-lintfort,DE,2021-11-29 21:59:45,51.5,6.5333,41.18,93,100,1.01,overcast clouds,0.0,0
35,yerbogachen,RU,2021-11-29 21:59:46,61.2767,108.0108,-5.24,98,98,6.15,overcast clouds,0.0,0
36,bredasdorp,ZA,2021-11-29 21:59:46,-34.5322,20.0403,58.28,66,60,5.79,broken clouds,0.0,0
37,nueva loja,EC,2021-11-29 21:59:47,0.0847,-76.8828,82.42,83,40,6.91,scattered clouds,0.0,0
38,chuy,UY,2021-11-29 21:59:02,-33.6971,-53.4616,65.39,93,100,18.07,light rain,0.0,0
39,yellowknife,CA,2021-11-29 21:59:48,62.456,-114.3525,-12.59,82,20,3.0,few clouds,0.0,0
40,rio gallegos,AR,2021-11-29 21:59:48,-51.6226,-69.2181,57.25,21,75,29.93,broken clouds,0.0,0
41,souillac,MU,2021-11-29 21:59:49,-20.5167,57.5167,74.35,83,20,4.61,few clouds,0.0,0
42,norman wells,CA,2021-11-29 21:59:49,65.282,-126.8329,-25.56,68,1,3.44,clear sky,0.0,0
43,kutum,SD,2021-11-29 21:59:50,14.2,24.6667,70.05,36,78,8.99,broken clouds,0.0,0
44,sitka,US,2021-11-29 21:59:51,57.0531,-135.33,35.69,86,100,8.21,light rain,0.0,0
45,doha,QA,2021-11-29 21:59:52,25.2867,51.5333,71.58,78,0,10.36,clear sky,0.0,0
46,mataura,NZ,2021-11-29 21:59:52,-46.1927,168.8643,55.47,62,97,4.41,overcast clouds,0.0,0
47,hermiston,US,2021-11-29 21:59:53,45.8404,-119.2895,64.81,59,47,1.01,scattered clouds,0.0,0
48,sinop,TR,2021-11-29 21:59:54,41.7711,34.8709,56.52,68,91,1.48,overcast clouds,0.0,0
49,east london,ZA,2021-11-29 21:59:54,-33.0153,27.9116,68.2,87,46,6.42,scattered clouds,0.0,0
50,hilo,US,2021-11-29 21:58:54,19.7297,-155.09,76.28,95,26,1.99,light rain,0.0,0
51,ancud,CL,2021-11-29 21:59:55,-41.8697,-73.8203,62.22,66,32,2.84,scattered clouds,0.0,0
52,qaanaaq,GL,2021-11-29 21:59:56,77.484,-69.3632,8.83,62,100,5.97,overcast clouds,0.0,0
53,pagudpud,PH,2021-11-29 21:59:57,18.5616,120.7868,75.16,89,97,18.48,overcast clouds,0.0,0
54,lagoa,PT,2021-11-29 21:59:57,39.05,-27.9833,60.75,58,79,4.16,broken clouds,0.0,0
55,tuktoyaktuk,CA,2021-11-29 21:59:58,69.4541,-133.0374,-14.8,70,75,19.57,light snow,0.0,0
56,cape town,ZA,2021-11-29 21:58:01,-33.9258,18.4232,66.09,75,40,6.91,scattered clouds,0.0,0
57,clyde river,CA,2021-11-29 21:59:59,70.4692,-68.5914,-0.17,78,75,5.75,broken clouds,0.0,0
58,albany,US,2021-11-29 21:59:19,42.6001,-73.9662,32.09,70,68,1.99,broken clouds,0.0,0
59,mount gambier,AU,2021-11-29 22:00:00,-37.8333,140.7667,66.11,52,34,6.91,scattered clouds,0.0,0
